ID,Age,Income,Score,Gender,Height_cm,Education,City,Marital_Status,Children,Join_Date,Credit_Score
127,23,8599,77,Female,157,Bachelor,Giza,Married,0,2020-03-06,613
128,28,4571,62,Male,173,PhD,Alexandria,Married,1,2024-07-06,615
129,36,7861,68,Male,166,high school,Aswan,Married,2,2021-10-08,711
130,28,9621,,Male,182,High School,alex,Divorced,1,2022-04-01,678
131,18,8429,60,Female,161,Bachelor,Cairo,Divorced,3,2021-07-02,697
132,35,6211,73,Male,192,Master,Cairo,Married,3,2020-05-15,689
133,22,5336,83,Female,178,High School,Cairo,Single,1,08/03/2021,698
134,40,2942,82,Female,182,High School,Cairo,Single,1,2023-03-07,689
135,23,6621,74,Male,159,Bachelor,Luxor,Married,4,2024-11-29,731
136,53,3769,75,Male,187,High School,Luxor,Single,2,2024-01-10,759
137,25,4413,73,Male,157,Bachelor,Luxor,Married,0,2021-10-06,670
138,31,3618,55,Male,167,Bachelor,Alexandria,Divorced,0,2021-03-11,708
139,44,5079,77,Male,NULL,Bachelor,Alexandria,Single,1,2023-09-04,566
140,20,5944,66,Female,175,Bachelor,Giza,Divorced,2,19/10/2022,643
141,37,6547,54,Female,157,High School,Aswan,Divorced,2,2022-03-21,704
142,50,4798,80,Female,181,Bachelor,Alexandria,Married,1,2024-12-16,552
143,18,8138,65,Male,173,Bachelor,Giza,Divorced,2,2023-08-09,723
144,37,5583,78,Female,165,Master,Cairo,Single,0,2022-07-28,565
145,38,4424,87,Male,154,Bachelor,Cairo,Married,1,2020-10-19,737
146,44,6452,60,Female,174,Bachelor,Alexandria,Married,2,2021-06-26,753
147,20,9927,76,Male,168,Bachelor,Luxor,Single,0,2020-10-12,558
148,19,6670,47,Female,171,Bachelor,Giza,Divorced,0,2021-05-20,683
149,41,5274,97,Female,154,High School,Aswan,Married,1,2024-03-05,655
150,38,2945,54,Female,165,High School,Giza,Married,0,2023-02-23,706
151,38,5561,67,Female,174,High School,Luxor,Married,0,2023-01-08,647
152,39,6469,95,Male,188,Bachelor,Luxor,Single,1,2021-06-22,
153,26,5224,71,Female,167,Bachelor,Alexandria,Single,3,2024-03-09,697
154,37,2669,57,Female,NULL,Bachelor,Luxor,Married,0,2023-04-12,711
155,38,4298,85,Female,177,Master,Luxor,Married,0,2022-05-27,575
156,26,8909,,Female,172,Bachelor,Aswan,Single,,10/04/2023,704
157,57,8868,65,Female,NULL,Bachelor,Luxor,Divorced,0,2022-03-28,686
158,40,4226,67,Male,160,PhD,Cairo,Married,0,2022-01-11,640
159,20,7345,68,Female,176,Bachelor,Luxor,Single,5,25/03/2021,573
160,42,3642,71,Female,164,Bachelor,Cairo,Divorced,2,2020-10-10,629
161,23,8808,46,Female,163,Bachelor,Aswan,Divorced,0,2022-11-09,670
162,44,6490,72,Male,168,High School,Alexandria,Single,0,2022-10-07,544
163,48,7899,100,Female,168,Master,alex,Married,1,05/07/2020,693
164,25,2569,61,Male,179,Master,Alexandria,Single,1,2024-03-27,639
165,46,7355,66,Female,164,Bachelor,Alexandria,Single,3,2020-04-06,750
166,39,5984,57,Male,178,Bachelor,Cairo,Divorced,0,2024-10-29,665
167,44,7703,84,Male,174,Bachelor,Giza,Married,0,2020-08-12,
168,,7829,93,Male,153,PhD,Luxor,Divorced,5,2020-11-09,693
169,32,6131,92,male,172,Master,Aswan,Single,1,2023-07-09,659
170,25,4798,56,Male,143,High School,cairo,Single,2,2020-11-23,646
171,24,7559,82,Male,161,Bachelor,Giza,Married,2,2024-06-10,744
172,25,5879,96,Female,174,Bachelor,Alexandria,Single,1,2023-10-25,603
173,34,4254,82,Female,169,High School,Giza,Single,0,2022-05-14,708
174,39,4159,82,Male,152,Bachelor,Aswan,Divorced,2,06/05/2023,650
175,38,3045,67,Male,158,High School,Giza,Married,1,2020-05-10,672
176,44,4979,78,Female,143,Master,Aswan,Single,3,27/02/2022,700
177,35,8205,93,Male,156,High School,Luxor,Married,2,2022-02-20,571
178,52,6355,79,Female,175,Master,Giza,Married,0,2023-05-05,
179,31,4940,,Male,164,Master,Alexandria,Divorced,0,2022-08-16,660
180,67,7609,68,Female,171,High School,Luxor,Divorced,1,2022-12-19,634
181,42,4335,93,Male,170,Bachelor,Alexandria,Single,5,29/05/2021,607
182,24,6190,,Male,170,Bachelor,Alexandria,Single,0,2023-02-07,662
183,22,5640,76,Female,180,PhD,Luxor,Married,1,2024-10-28,694
184,40,7558,66,Female,167,Bachelor,Luxor,Divorced,0,24/01/2020,730
185,32,2845,92,Male,179,Bachelor,Aswan,Single,3,2023-10-25,703
186,43,4299,99,Female,145,Master,Giza,Married,,2024-01-16,637
187,40,2723,93,Male,181,High School,Aswan,Married,1,2020-08-22,702
188,34,5480,96,Male,157,Bachelor,Cairo,Divorced,1,2023-10-28,625
189,24,8422,69,Male,159,Master,Cairo,Single,1,2024-12-17,565
190,18,4989,67,Male,162,High School,Aswan,Single,4,2023-01-04,723
191,29,4978,72,Female,180,Master,Aswan,Single,4,2024-03-17,587
192,45,7743,75,Male,161,Bachelor,Giza,Divorced,2,2021-06-30,609
193,37,8137,96,Male,163,Bachelor,Luxor,Married,0,2024-04-23,651
194,20,5822,92,Female,160,Bachelor,Cairo,Single,1,2023-08-05,643
195,37,7369,83,Female,172,High School,Luxor,Divorced,1,27/11/2021,549
196,39,3846,53,Male,177,High School,Alexandria,Single,2,2020-08-16,621
197,24,8755,49,Male,187,Bachelor,Alexandria,Single,3,24/08/2021,692
198,36,10297,78,Male,193,Master,Luxor,Divorced,1,2022-06-09,670
199,35,7042,88,Male,176,Bachelor,Alexandria,Single,1,2020-11-19,679
200,21,1831,73,fmale,173,Bachelor,Cairo,Single,3,2022-07-18,545
201,39,4883,100,Male,157,Bachelor,Cairo,Married,1,2020-01-07,577
202,41,7225,58,Female,189,High School,Alexandria,Divorced,1,18/01/2024,678
203,47,5157,56,Male,172,PhD,Cairo,Single,0,28/11/2024,754
204,47,8544,65,Female,167,High School,Alexandria,Married,0,2024-01-13,642
205,18,7176,64,Female,173,Bachelor,Giza,Single,1,2021-06-23,660
206,23,4587,82,Male,163,Bachelor,Giza,Single,0,2022-10-22,663
207,41,6064,,Female,146,Bachelor,Luxor,Married,0,2024-04-09,694
208,41,4212,51,Female,175,Bachelor,Alexandria,Single,,2020-12-31,603
209,41,5634,88,Female,183,PhD,Giza,Married,1,2022-11-05,751
210,81,4890,48,fmale,175,Bachelor,Giza,Married,1,2020-08-05,722
211,41,8349,58,Male,169,High School,Cairo,Married,2,17/11/2024,688
212,48,10232,50,fmale,170,Master,Luxor,Single,0,2023-07-04,626
213,46,3137,78,Male,171,High School,Luxor,Divorced,2,2021-09-03,678
214,42,2153,77,Female,171,Bachelor,Giza,Divorced,1,2024-09-19,675
215,31,5509,100,Male,169,Master,Giza,Single,2,2023-08-01,
216,44,2963,,Male,170,PhD,Luxor,Married,2,2022-11-05,596
217,25,6092,96,Female,185,Bachelor,Cairo,Divorced,2,2023-06-01,672
218,32,7497,79,Male,174,High School,alex,Married,1,11/02/2021,639
219,29,8988,60,Female,171,Bachelor,Cairo,Divorced,3,2020-11-09,704
220,35,6402,76,Male,176,Master,Aswan,Single,1,2022-02-04,585
221,62,5613,83,Female,176,Bachelor,Luxor,Divorced,4,2024-04-10,664
222,,2043,85,Female,179,Bachelor,Luxor,Single,0,2020-11-26,715
223,43,6052,67,Male,162,Bachelor,Luxor,Married,0,2023-01-09,676
224,18,6142,82,Male,165,Bachelor,Alexandria,Married,0,2024-05-13,716
225,29,7277,61,Female,161,Master,Alexandria,Single,1,2022-12-22,708
226,48,4583,59,Female,177,Bachelor,Alexandria,Divorced,,2020-01-02,647
227,35,5129,58,Female,177,High School,Luxor,Married,1,2023-05-11,630
228,22,3043,75,Female,157,Bachelor,alex,Single,0,2021-10-25,709
229,26,1417,57,Male,173,Bachelor,Luxor,Single,0,2022-09-27,673
230,,3783,68,male,183,Bachelor,Aswan,Divorced,2,2020-02-09,668
231,26,2859,88,Male,167,High School,Cairo,Divorced,0,2020-08-17,693
232,37,6673,59,Male,173,Bachelor,cairo,Single,5,2022-01-13,646
233,35,4963,67,Female,177,Master,Cairo,Divorced,2,2024-12-04,
234,27,4923,76,Female,156,Bachelor,Aswan,Single,3,2024-08-30,737
235,60,4031,78,Male,171,PhD,Cairo,Married,0,2024-07-10,657
236,42,-465,67,Female,182,Bachelor,Giza,Single,,2021-09-21,598
237,18,9016,86,Female,164,Bachelor,Cairo,Divorced,1,2021-05-05,677
238,37,3999,83,Male,178,High School,Luxor,Divorced,1,2020-04-28,664
239,27,5175,92,Male,170,Bachelor,Aswan,Divorced,2,08/05/2021,633
240,45,3090,73,Male,163,Bachelor,Alexandria,Divorced,2,2024-12-03,
241,25,7943,67,Male,169,Master,Giza,Single,0,2023-03-07,647
242,33,6286,64,Male,164,High School,Aswan,Single,3,2020-06-10,610
243,41,4347,79,Male,161,High School,Giza,Single,0,2020-06-24,603
244,45,5215,69,Male,167,High School,Alexandria,Single,0,2024-02-07,592
245,20,9356,66,Female,170,Bachelor,Alexandria,Divorced,1,2022-09-22,709
246,30,5854,68,Female,168,Master,Alexandria,Married,3,29/07/2024,690
247,,5636,64,Female,167,High School,Alexandria,Married,0,2020-05-21,689
248,27,4117,77,Male,172,Bachelor,Alexandria,Divorced,,2024-04-06,678
249,56,2210,53,Male,175,High School,Luxor,Married,0,2022-12-26,590
250,39,5679,79,Male,158,Bachelor,Cairo,Single,4,2024-04-17,577
251,19,6650,85,Female,167,High School,Alexandria,Married,0,2020-09-14,586
252,46,8199,66,Male,150,Bachelor,Aswan,Single,0,2020-09-19,680
253,60,1503,100,Female,168,Bachelor,Aswan,Single,0,2023-09-13,592
254,47,3749,,Male,171,High School,Alexandria,Single,0,2022-08-31,693
255,18,4838,51,Female,175,Bachelor,Giza,Divorced,3,2023-01-30,694
256,29,5993,70,Female,171,Bachelor,Alexandria,Single,0,2020-12-04,678
257,50,5709,75,Male,175,Bachelor,Luxor,Divorced,0,2021-06-26,640
258,26,5756,81,Male,170,Bachelor,Cairo,Divorced,0,2022-12-16,693
259,40,6816,71,Female,163,Bachelor,Aswan,Married,2,2024-11-21,642
260,44,4193,59,Female,158,Bachelor,Alexandria,Married,0,2023-05-27,718
261,23,7868,58,Male,NULL,Master,alex,Married,1,2022-05-16,691
262,34,6866,65,Male,162,Master,Cairo,Divorced,3,2021-03-09,604
263,18,5360,66,Male,168,Bachelor,Alexandria,Divorced,0,09/01/2023,607
264,,9201,57,Male,165,Master,Cairo,Single,0,2024-03-26,623
265,31,9112,64,Female,174,Master,Aswan,Divorced,0,2024-02-03,637
266,20,7865,84,Male,170,High School,Alexandria,Single,1,2023-11-13,602
267,54,-37,99,Female,174,PhD,cairo,Married,1,2021-02-15,687
268,18,9157,86,Male,174,High School,Alexandria,Divorced,3,2023-12-31,679
269,29,7589,94,Female,168,High School,Aswan,Single,1,2021-09-30,637
270,36,10012,89,Male,168,PhD,Alexandria,Single,3,2022-03-28,710
271,52,8474,87,Female,175,High School,Alexandria,Divorced,1,2023-10-07,650
272,18,9156,69,Male,194,Bachelor,Alexandria,Married,1,2023-08-23,579
273,48,7757,77,Male,160,PhD,Luxor,Single,1,03/02/2022,602
274,35,8697,68,Male,170,High School,Luxor,Divorced,0,2022-06-16,663
275,23,9988,71,Male,158,High School,Aswan,Divorced,2,2022-11-25,719
276,40,6433,76,Female,169,Bachelor,Cairo,Single,3,2022-07-13,667
277,37,2855,85,Male,163,Bachelor,Alexandria,Single,2,2020-09-04,603
278,27,5385,81,Male,168,Master,Alexandria,Single,0,2021-05-22,620
279,35,6779,72,Male,171,Master,Luxor,Divorced,2,2021-04-05,669
280,30,6149,75,Male,165,High School,Giza,Divorced,1,2020-05-11,601
281,36,3506,81,Female,152,Bachelor,Luxor,Divorced,0,2021-11-23,739
282,,2737,85,Male,184,Bachelor,Cairo,Married,0,2020-02-13,708
283,54,4517,52,Female,178,Bachelor,Alexandria,Married,2,2023-04-19,653
284,,7615,58,Male,168,Bachelor,Alexandria,Divorced,0,2023-02-08,695
285,60,9160,91,male,161,Bachelor,Aswan,Single,0,2021-04-16,656
286,18,7833,74,Female,170,Bachelor,Giza,Divorced,0,2023-04-20,633
287,33,8114,68,Male,173,Master,Aswan,Divorced,1,2021-03-27,656
288,42,5838,71,male,177,Master,Giza,Married,0,2020-01-15,540
289,38,2515,71,Male,178,High School,Giza,Divorced,0,2020-05-25,677
290,27,5089,83,male,180,Bachelor,Giza,Single,0,20/12/2023,629
291,32,5482,58,Male,152,Bachelor,Giza,Married,0,2023-07-16,725
292,29,5005,75,Female,166,PhD,Aswan,Divorced,2,2020-04-30,677
293,27,6109,78,Male,179,Master,Alexandria,Married,1,2021-04-13,660
294,45,6882,80,Male,160,Bachelor,alex,Single,0,2020-05-18,592
295,39,7706,78,Male,182,High School,Aswan,Single,0,2020-03-05,629
296,26,5443,82,Female,188,High School,Luxor,Divorced,0,26/10/2024,661
297,45,2192,66,Female,181,Bachelor,Cairo,Divorced,3,2021-11-07,704
298,38,5034,,Female,176,PhD,alex,Married,0,2020-05-25,671
299,44,6087,100,Male,165,High School,Aswan,Single,0,2022-11-18,656
300,42,8445,70,Male,172,Bachelor,Giza,Divorced,3,2021-05-02,651
301,25,4864,72,Male,156,High School,Giza,Single,0,2021-07-24,723
302,28,7025,85,Male,162,Bachelor,Giza,Divorced,2,2023-10-02,706
303,43,6580,98,Male,162,Bachelor,Aswan,Divorced,0,2022-09-21,685
304,42,6087,66,Female,170,Bachelor,Alexandria,Single,3,2021-03-14,680
305,,7861,60,Male,166,Bachlors,Luxor,Divorced,0,2023-01-09,667
306,36,,56,Female,NULL,Master,Luxor,Divorced,0,2020-09-27,675
307,50,4849,98,Female,178,Bachelor,Aswan,Divorced,2,2024-01-21,567
308,27,5976,59,Female,162,Bachelor,Cairo,Divorced,0,2024-12-12,636
309,,4719,74,male,171,Master,Luxor,Divorced,1,2023-03-15,
310,32,7016,60,Male,165,High School,Luxor,Divorced,0,2023-03-26,640
311,32,,53,Female,171,Bachelor,Giza,Divorced,0,2022-08-26,632
312,48,6452,70,Female,176,Master,alex,Divorced,1,2021-05-12,697
313,44,5799,60,Female,179,Master,Alexandria,Married,2,2024-05-25,565
314,44,6429,64,Female,176,Master,Aswan,Divorced,3,2022-08-26,618
315,50,5080,100,Female,174,High School,Aswan,Divorced,0,2024-07-11,574
316,35,5321,81,Male,155,Master,Luxor,Married,1,2022-04-13,715
317,43,6192,88,Female,159,Master,Giza,Married,1,2021-01-24,644
318,31,6404,87,Female,161,Bachelor,Aswan,Single,2,2020-07-12,720
319,38,5991,73,Male,173,High School,Alexandria,Single,1,2020-07-17,635
320,33,9410,68,Female,157,Bachelor,Giza,Single,1,2023-09-11,576
321,36,4018,78,Female,173,Bachelor,Giza,Single,1,2022-06-01,633
322,42,5871,77,Female,172,Master,alex,Married,0,2021-12-26,734
323,25,2852,66,Female,150,Bachlors,Alexandria,Single,,2022-05-17,691
324,60,6744,76,Male,159,Bachelor,Alexandria,Divorced,2,2022-04-21,657
325,22,3769,64,Male,NULL,Bachelor,Aswan,Married,0,14/08/2022,656
326,20,5443,72,Female,176,Bachelor,Giza,Divorced,3,2024-11-04,639
327,48,5255,69,Female,161,Bachlors,Giza,Single,0,2024-02-02,623
328,44,6561,55,Female,159,Bachelor,Cairo,Single,1,2020-04-20,665
329,42,4894,39,Female,145,Bachelor,Cairo,Divorced,0,2023-10-11,573
330,42,4809,60,Male,184,High School,Cairo,Single,1,2023-08-31,653
331,34,8871,100,Male,170,High School,Aswan,Single,4,2023-08-16,637
332,24,6569,70,Male,188,Bachelor,Aswan,Single,1,2020-07-20,639
333,35,4877,86,Female,168,High School,Alexandria,Single,0,2020-05-04,605
334,26,5498,43,Male,172,Bachelor,Aswan,Divorced,2,2022-04-04,666
335,46,9290,59,Female,178,Bachlors,Giza,Single,1,2024-01-31,725
336,33,5529,,Female,186,Bachelor,Giza,Married,2,2021-11-25,621
337,25,4621,71,Male,175,Master,cairo,Divorced,1,2024-06-27,667
338,31,4630,100,Female,170,High School,Luxor,Divorced,0,2024-10-30,666
339,39,4901,81,Male,170,High School,Aswan,Married,1,2020-08-11,726
340,28,4811,100,Male,159,high school,Luxor,Single,0,2021-05-24,582
341,25,3440,71,Female,166,Bachelor,alex,Divorced,0,2021-01-27,662
342,,3751,95,Male,170,Bachelor,Alexandria,Married,1,2021-01-24,698
343,37,4341,100,Female,183,High School,Alexandria,Married,0,2023-01-03,
344,28,7183,73,Female,165,High School,Luxor,Married,0,07/07/2022,618
345,29,5237,66,Male,180,Master,Aswan,Divorced,1,2020-10-14,607
346,37,5585,55,Male,169,Bachlors,Luxor,Married,1,2022-05-14,655
347,18,8540,70,Male,182,Bachelor,Giza,Married,0,2021-01-10,695
348,18,8590,76,Male,176,PhD,Aswan,Married,0,24/07/2021,552
349,26,5435,100,Male,176,Master,Cairo,Divorced,1,2022-08-05,596
350,32,4738,55,Female,179,High School,Giza,Married,1,2021-05-26,
351,38,4271,75,Female,178,Bachelor,Aswan,Divorced,3,2024-11-25,658
352,52,7385,47,Male,180,Bachelor,Luxor,Divorced,3,2020-06-03,710
353,45,5590,68,Male,191,Master,Luxor,Married,0,26/06/2022,780
354,33,5227,79,Male,186,High School,Luxor,Single,1,2024-07-12,730
355,34,4372,82,Female,174,Bachelor,Aswan,Divorced,1,2024-10-30,646
356,22,4460,83,Female,165,Bachelor,Luxor,Married,2,2024-10-19,608
357,34,6640,80,Female,173,Master,Aswan,Divorced,,2023-02-01,582
358,31,3369,83,Male,150,Master,alex,Married,0,2020-07-19,670
359,38,7989,75,Female,178,Bachelor,Luxor,Married,0,2020-04-13,558
360,,4932,59,Male,159,Bachelor,Alexandria,Single,2,2023-08-28,642
361,41,5700,47,Male,181,Master,Alexandria,Divorced,0,2023-01-12,664
362,53,3326,66,Male,189,Bachelor,Giza,Divorced,1,2024-09-08,741
363,,5975,72,Female,155,Master,Aswan,Divorced,0,2020-01-31,659
364,39,5343,93,Female,169,Master,Luxor,Divorced,5,2020-07-10,609
365,43,5899,73,Male,159,Bachlors,Luxor,Married,1,2024-03-23,680
