Transaction ID,Customer_ID,Date,Items Purchased,Amount,Store_Location,Payment_Method,Discount_Applied,Member_Level,Satisfaction_Score
1059,636.0,2023-12-02,"apples, sugar, coffee, rice, bread",136.19,Mansoura,Mobile Wallet,Y,Gold,9
1060,882.0,2023/01/30,"Yogurt, Sugar, Pasta, TOMATOES, Cheese",125.14,Alexandria,Credit Card,False,,4
1061,1162.0,09-02-2023,soap,21.24,Alexandria,Cash,0,Bronze,5
1062,1422.0,16 December 2023,"chicken, cheese, butter, eggs",90.95,Luxor,Debit Card,Yes,Bronze,3
1063,1173.0,03-09-2023,"orange juice , sugar , butter",20.53,Giza,Mobile Wallet,FALSE,Silver,3
1064,,27 June 2023,tea,6.97,Alexandria,Debit Card,0,Silver,10
1065,1240.0,null,"shampoo, BREAD, MILK",33.37,Mansoura,Cash,Y,Platinum,10
1066,1763.0,2023/08/19,"apples, butter, onions",43.81,Luxor,Credit Card,FALSE,Platinum,8
1067,,01-12-2023,"tea , orange juice , beef , chicken",0,Mansoura City,Debit Card,False,Silver,5
1068,573.0,2023/03/15,"soda, soap, cheese, butter, apples",30.66,Alexandria,Mobile Wallet,1,Silver,10
1069,1726.0,2023-01-09,"shampoo, tomatoes, tea",58.78,Cairo,Debit Card,yes,,8
1070,1723.0,2023/08/03,"butter, soda, beef, bread",97.5,Mansoura,Cash,1,Platinum,6
1071,1119.0,23-05-2023,"soda, cookies, detergent",37.32,Giza,Mobile Wallet,0,Gold,10
1072,1677.0,05/12/2023,"butter, pasta, bread",35.33,Luxor,Visa,True,Silver,1
1073,1396.0,2023-09-01,"milk, sugar",26.06,Cairo,Cash,1,Bronze,3
1074,75.0,2023/06/21,coffee | yogurt | cookies | pasta,69.39,Alexandria,Mobile Wallet,Yes,,8
1075,,07-08-2023,"pasta, shampoo, soda",28.86,Alexandria,Card,Y,Gold,11
1076,,12/27/2023,orange juice,28.52,Giza,Credit Card,FALSE,Gold,9
1077,1691.0,2023-12-27,"beef, soda",51.44,Luxor,Credit Card,False,Platinum,9
1078,851.0,01/02/2023,"shampoo, bread, sugar, orange juice",54.45,Cairo,Cash,Y,,7
1079,1494.0,2023-10-06,"bananas, ONIONS, Apples, Orange Juice, SODA, soap",99.09,Alexandria,Dollar,0,Bronze,2
1080,1441.0,2023/01/29,beef,27.91,Luxor,Debit Card,yes,Platinum,1
1081,359.0,2023-08-02,"soda, bananas, sugar, coffee, bread, onions",110.69,Alexandria,Debit Card,Y,Platinum,9
1082,677.0,19 April 2023,"EGGS, Orange Juice, ONIONS, cookies, Sugar, CHICKEN",179.94,Mansoura,Credit Card,1,Gold,9
1083,1808.0,24-01-2023,"orange juice, cheese, cookies, coffee",46.08,Luxor,Mobile Wallet,Yes,,10
1084,1403.0,2023/03/28,"rice, coffee, cookies",81.7,Cairo,Cash,True,Silver,50
1085,,02 October 2023,"soda, soap, coffee, cookies, milk, chips",,alexandria,Credit Card,,Platinum,7
1086,615.0,NULL,"eggs, detergent, chips, bread, cookies, apples",126.74,Giza,Cash,TRUE,,10
1087,,04-05-2023,"Sugar, shampoo, soda",55.54,Mansoura,Credit Card,1,Gold,7
1088,1258.0,2023-07-12,"apples, tomatoes, milk, detergent, rice",35.71,Luxor,Credit Card,Yes,,3
1089,11.0,02-11-2023,"ORANGE JUICE, ONIONS, rice",36.89,Mansoura,Credit Card,yes,Silver,5
1090,863.0,2023-04-11,"coffee, eggs, onions",-10,Giza,Mobile Wallet,N,Silver,10
1091,1976.0,05/24/2023,"tomatoes, pasta, cookies, chips",76.39,Luxor,Credit Card,yes,Silver,5
1092,1629.0,2023/07/13,"soda, coffee, butter, detergent",60.08,Luxor,Mobile Wallet,no,Bronze,4
1093,91.0,2023-03-19,"DETERGENT, SODA, apples, Tomatoes, BANANAS",,Giza,Dollar,Yes,Platinum,9
1094,1427.0,12/13/2023,"tomatoes, eggs, pasta, bread",71.6,Luxor,Mobile Wallet,Y,Silver,7
1095,921.0,,"bananas, apples, milk, chips, chicken",70.72,Alexandria,Debit Card,0,Gold,10
1096,938.0,2023/03/01,"yogurt, soda, chips, pasta, soap",77.28,Alexandria,Mobile Wallet,1,,5
1097,110.0,29-07-2023,"milk, coffee, butter",51.65,Cairo,Credit Card,FALSE,Silver,10
1098,232.0,12/01/2023,"cheese, rice, sugar, onions, bread",81.22,Giza,Cash,TRUE,,10
1099,877.0,2023/09/30,"soap, butter",45.2,Giza,cash,Yes,Silver,3
1100,1560.0,22 December 2023,apples;coffee;butter;shampoo;rice;bananas,79.09,Cairo,Cash,no,Gold,9
1101,1014.0,12/16/2023,"tomatoes, pasta, sugar",,CAIRO,Mobile Wallet,FALSE,Silver,5
1102,1341.0,12/25/2023,"rice, eggs, onions",22.14,Alexandria,Credit Card,False,,6
1103,271.0,07/15/2023,"eggs, beef, apples, cookies",119.29,alexandria,Credit Card,yes,Platinum,8
1104,1542.0,2023/05/07,shampoo,20.0,Luxor,Cash,FALSE,Silver,5
1105,491.0,2023-03-09,apples;cheese;beef;coffee,74.64,Alexandria,Csh,Yes,,1
1106,1460.0,19 September 2023,"bananas, chips, apples, eggs, detergent",65.84,Luxor,Cash,no,Silver,2
1107,113.0,03/06/2023,"soda, COOKIES, yogurt",23.85,Cairo,Mobile Wallet,Yes,Bronze,9
1108,754.0,2023/01/02,"rice, cheese",33.59,Mansoura,Credit Card,1,Platinum,4
1109,160.0,05 February 2023,"onions, cheese, tea, soda, bread",63.84,Cairo,Cash,0,Silver,10
1110,1501.0,01/01/2023,"beef, butter, milk, bananas, sugar",63.44,Alexandria,Credit Card,TRUE,bronze,4
1111,763.0,2023-02-01,"cookies, eggs, shampoo, cheese",46.1,Giza,Mobile Wallet,No,Silver,4
1112,217.0,2023-06-07,"orange juice, tomatoes",50.38,Giza,Cash,FALSE,,4
1113,,2023-02-18,"rice, yogurt, milk",15.9,Ale,Debit Card,1,bronze,2
1114,189.0,2023/05/21,"Cheese, Bread, ORANGE JUICE",61.44,Alexandria,Mobile Wallet,False,,7
1115,1077.0,10/06/2023,"detergent, sugar",26.08,Giza,Debit Card,Yes,,8
1116,1995.0,01/29/2023,"cheese, beef",59.13,Mansoura,Credit Card,,Gold,1
1117,292.0,,"chicken, coffee, sugar, pasta, yogurt",null,Alexandria,Credit Card,False,,10
1118,1078.0,11 March 2023,"eggs, onions, chips",62.94,Mansoura,Credit Card,FALSE,Silver,5
1119,1943.0,23 February 2023,"apples, shampoo, bread, yogurt, soap",54.75,Giza,Cash,N,,4
1120,222.0,02/21/2023,"milk, bread, apples, orange juice, bananas, yogurt",143.74,Alexandria,Cash,Yes,,5
1121,769.0,11 November 2023,"cookies, eggs",42.68,Luxor,Mastercard,TRUE,Gold,5
1097,1006.0,2023/11/23,"BREAD, onions",25.42,Mansoura,Debit Card,FALSE,Platinum,100
1122,551.0,2023-05-01,"BREAD, butter, chips, soda, CHEESE",114.29,Luxor,Card,TRUE,Silver,7
1123,1685.0,23 August 2023,"butter, soap, rice, tomatoes, eggs, chips",,Cairo,Credit Card,True,Bronze,9
1124,1342.0,2023/07/25,"shampoo, soap, coffee, bread",43.76,Mansoura,Debit Card,No,,8
1125,467.0,2023/11/27,"pasta, cookies",30.36,Mansoura,Debit Card,True,Platinum,9
1048,412.0,26-08-2023,BEEF,5.76,Giza,Mobile Wallet,0,Gold,5
1126,792.0,26-04-2023,yogurt,5.5,Cairo,Credit Card,TRUE,,5
1127,1834.0,2023/02/22,"onions, orange juice, rice, chicken",103.94,Luxor,Debit Card,Y,,5
1128,1457.0,2023/12/15,"pasta, chicken, butter, tea, beef, bread",,Giza,Mobile Wallet,1,Silver,4
1129,1927.0,10/14/2023,"onions, tea, pasta, yogurt, sugar, detergent",80.34,Cairo,Credit Card,N,Gold,10
1130,1775.0,28 January 2023,"shampoo, cookies, soap, eggs, coffee, chicken",81.4,Luxor,App,True,Silver,11
1131,1181.0,NULL,"COFFEE, EGGS",54.6,Luxor,Cash,TRUE,Gold,2
1132,1688.0,11 August 2023,pasta,27.53,Giza,Credit Card,False,,3
1021,751.0,2023/01/11,"detergent, bread, apples, cookies, rice, sugar",48.54,Giza,Credit Card,Yes,Bronze,5
1133,1841.0,12-04-2023,tea,29.33,Giza,Debit Card,FALSE,Platinum,-1
1134,1371.0,2023/06/01,"butter, eggs, tea, cookies",null,Cairo,Debit Card,N,Bronze,0
1135,733.0,2023/08/22,"soap, rice, cookies, eggs",99.99,alexandria,Card,FALSE,Gold,3
1136,903.0,10/23/2023,eggs,26.83,Luxor,Cash,Y,Platinum,9
1137,,2023-05-04,"tea, coffee",37.52,Mansoura,Card,False,Platinum,8
1127,1142.0,2023-06-24,"milk, eggs, soap, detergent, pasta",null,Mansoura,Mobile Wallet,no,Bronze,11
1138,598.0,2023/07/29,"tea, onions, chips, cheese, bread",141.28,Mansoura,Credit Card,Y,,10
1139,1207.0,14-06-2023,"butter, COFFEE, milk, TEA, cookies",139.49,Alexandria,Debit Card,,,7
1140,1727.0,09 March 2023,"sugar, tomatoes, cookies, detergent, chicken, soap",105.58,Giza,Debit Card,no,Gold,7
1141,,null,"BREAD, soda",27.93,MANSOURA,Mobile Wallet,no,Platinum,6
1142,416.0,2023/04/10,"orange juice, beef, detergent, chips, onions",48.37,Alexandria,Cash,No,Silver,100
1143,315.0,2023/07/03,"soap, bread, detergent",86.77,LUXOR,Mobile Wallet,False,Silver,6
1144,1087.0,2023/11/15,"sugar, detergent, milk, cheese",NULL,Mansoura,Cash,False,Gold,9
1073,169.0,18-04-2023,yogurt,15.61,Cairo,Mobile Wallet,yes,Bronze,-1
1145,1143.0,2023-07-27,shampoo,,luxor,Cash,Yes,Bronze,5
1146,782.0,2023/10/07,"soda, milk, coffee, yogurt",108.7,Giza,Cash,True,,10
1147,625.0,2023/04/05,"cookies, onions",19.07,Luxor,Mobile Wallet,Yes,Gold,10
1148,1343.0,12-11-2023,"cheese, pasta",38.34,Giza,Visa,yes,Platinum,6
1149,948.0,01/10/2023,"Onions, PASTA, coffee, SUGAR",77.89,Luxor,Cash,no,Gold,10
1150,1046.0,11-11-2023,apples,8.98,Luxor,Credit Card,No,,8
1151,1370.0,null,"tea, onions",41.68,Giza,Debit Card,Y,Gold,2
1152,1058.0,null,"onions, coffee, soap, milk",56.22,Cairo,Mobile Wallet,Y,Platinum,3
1153,262.0,2023/02/13,"Shampoo, YOGURT, BUTTER, detergent, Tea",85.21,Alexandria,Credit Card,1,Gold,6
1154,,18-03-2023,"apples, butter, cheese, milk",79.98,Luxor,Dollar,1,Bronze,7
1155,,2023-02-20,"bananas, beef, coffee, apples, onions",138.76,Cairo,Mobile Wallet,yes,Bronze,2
1156,1648.0,05-08-2023,"bananas, onions, cheese",44.81,Alexandria,Mobile Wallet,No,Gold,7
1157,1532.0,09-10-2023,"orange juice, chips",29.46,Cairo,Credit Card,False,,4
1158,1907.0,2023-11-24,"soap, detergent, tea, pasta",NULL,ALEXANDRIA,Credit Card,FALSE,Silver,5
1159,1201.0,14 October 2023,tea;milk,23.83,Luxor,Mobile Wallet,Yes,,9
1160,1940.0,2023-12-22,tea,11.08,Giza,Mobile Wallet,Y,,2
1161,1437.0,2023/05/08,"tomatoes, bananas",27.1,Luxor,Mobile Wallet,1,,4
1162,1788.0,,"chicken, beef, soap",55.61,Cairo,Debit Card,0,Platinum,9
1163,111.0,03-03-2023,"bananas, coffee, sugar, bread, tea",26.48,Alexandria,Cash,FALSE,Silver,10
1164,859.0,05/19/2023,"onions, cookies, apples, rice, orange juice, yogurt",59.41,Alexandria,Cash,FALSE,Gold,5
1165,,2023-02-19,chips,19.01,Giza,App,1,Silver,5
1166,1509.0,2023-06-22,"eggs, apples, soap, pasta",110.71,Cairo,Credit Card,no,,7
1167,744.0,12/25/2023,"shampoo, tea, orange juice, bananas, yogurt, soap",44.33,Mansoura,Cash,True,,3
1168,470.0,18-01-2023,"cookies, pasta",33.81,Luxor,App,1,Platinum,9
1169,1649.0,NULL,orange juice,5.21,Mansoura,Mobile Wallet,,,4
1170,1807.0,05-08-2023,"bananas, apples, beef, yogurt, chips",101.65,Giza,Debit Card,TRUE,,2
1171,1276.0,2023-06-25,"Chicken, TOMATOES, MILK, butter",57.14,Cairo,Card,1,Silver,5
1172,1574.0,2023-08-31,"beef, apples, orange juice, cookies, bread, chicken",53.79,Cairo,Cash,FALSE,Bronze,4
1173,31.0,07/10/2023,"Rice, SHAMPOO",44.3,Giza,Dollar,yes,Bronze,4
1174,712.0,,"cookies, chicken, milk, chips",69.01,Luxor,Debit Card,No,Silver,3
1175,930.0,07/06/2023,detergent,21.46,Luxor,Credit Card,,Gold,6
1176,,18-07-2023,"yogurt, bread",22.8,Giza,Csh,,,1
1177,1684.0,NULL,chips;bread;soap,69.39,Luxor,Credit Card,1,Silver,9
1178,734.0,01 October 2023,"orange juice, chips, soda, bananas, cheese, yogurt",77.27,Giza,Mobile Wallet,,Silver,4
1179,738.0,12/20/2023,"ORANGE JUICE, APPLES, MILK, Cookies",77.07,Luxor,Cash,TRUE,,10
1180,1169.0,12/20/2023,"shampoo, chicken, cookies, eggs",84.23,Cairo,Vodafone Cash,No,Platinum,2
1181,1234.0,NULL,detergent,8.83,Mansoura,Cash,,Silver,8
1126,817.0,2023/09/26,"bananas, chips, butter, coffee, sugar",65.43,Lux,Mobile Wallet,Yes,Bronze,3
1182,906.0,2023/01/28,"butter, orange juice, bread, beef, chicken",129.06,giza,Debit Card,Yes,,9
1183,1124.0,2023/05/11,soap | cookies | butter | chips,81.8,Cairo,Dollar,no,Gold,1
1184,780.0,2023/12/31,"chips, cheese, tomatoes, coffee, soap",66.7,Mansoura,Cash,No,Silver,9
1185,793.0,2023/03/12,sugar,20.31,Alexandria,Credit Card,0,Silver,3
1186,283.0,17 October 2023,"chips, tea, butter",86.15,Cairo,Credit Card,N,Gold,5
1187,54.0,07/29/2023,"SOAP, Rice, Shampoo, Beef, SODA",NULL,Mansoura,Credit Card,TRUE,Platinum,8
1188,876.0,02-10-2023,"bread, soap, cookies, apples",72.06,Mansoura,Cash,1,Bronze,9
1189,901.0,08/26/2023,"pasta, orange juice, yogurt, bananas",31.32,Luxor,Credit Card,N,,8
1190,932.0,2023/03/05,rice,7.13,Mansoura,Credit Card,False,Gold,3
1191,106.0,null,"pasta, cookies, orange juice, detergent",,Mansoura,Cash,FALSE,,8
1192,14.0,NULL,"sugar, rice",NULL,cairo,Debit Card,True,,3
1193,1434.0,08 July 2023,"shampoo, sugar, yogurt, orange juice, cookies",130.41,Cairo,Mastercard,0,Silver,10
1194,1084.0,07-08-2023,coffee,29.88,Giza,Mobile Wallet,N,Silver,-1
1195,1511.0,06-01-2023,"soap, bananas",13.39,Giza,Debit Card,yes,Platinum,10
1196,1708.0,02 October 2023,"soda, coffee, bread",84.58,Cairo,Debit Card,0,Silver,6
1197,1986.0,2023-11-07,"rice, milk",47.58,Giza,Debit Card,FALSE,Gold,5
1198,,24 June 2023,"eggs, orange juice",48.78,Alexandria,Cash,TRUE,Platinum,9
1199,,09-06-2023,"eggs, tomatoes, orange juice, bread, cheese",60.82,Luxor,Mobile Wallet,FALSE,,50
1200,1112.0,2023/03/08,"Sugar, TOMATOES, RICE",43.77,Cairo,Credit Card,0,Gold,9
1201,1163.0,2023-08-27,"eggs, chips",54.79,Giza,Mobile Wallet,,Gold,1
1202,1733.0,2023-02-24,"pasta, onions",36.64,Mansoura,Credit Card,Y,Gold,10
1203,701.0,2023-11-02,"chips, beef, yogurt, soda, eggs",47.02,mansoura,Mobile Wallet,True,,3
1204,1.0,16-04-2023,"soda, butter",55.66,Giza,Mobile Wallet,False,Platinum,5
1205,2.0,2023-07-27,"sugar, onions, cheese, pasta, milk, beef",101.23,Alexandria,Debit Card,Yes,Silver,2
1206,1348.0,2023/11/16,"butter, eggs, detergent, bananas",65.0,Giza,Mobile Wallet,,Gold,9
1033,1444.0,2023-05-24,cheese | shampoo | coffee,21.63,Mansoura,Cash,0,,6
1140,961.0,2023/10/16,cookies | tomatoes | bananas | onions | pasta,96.61,Giza,Cash,TRUE,Gold,10
1207,,2023/03/31,soap,24.98,Cairo,Cash,Y,Platinum,4
1208,1184.0,2023/09/30,"onions, bread, detergent, rice, cheese, chips",69.39,Luxor,Cash,N,Bronze,9
1209,1881.0,11-12-2023,"rice, tomatoes, cookies, soda, cheese, detergent",133.54,Alexandria,Cash,True,Bronze,6
1210,49.0,2023/11/06,"eggs, bread, soap, soda, chicken",95.76,Alexandria,Credit Card,no,Platinum,5
1211,1578.0,null,"rice,yogurt,eggs",88.46,Alexandria,Credit Card,TRUE,Platinum,2
1212,150.0,01-12-2023,shampoo,11.66,Giza,Cash,N,Bronze,1
1213,249.0,01 October 2023,"sugar, onions, tomatoes, soda, pasta",120.06,Giza,Credit Card,no,,7
1214,174.0,null,"orange juice, chicken, butter, bread, chips, milk",151.77,cairo,Debit Card,Y,,9
1215,306.0,NULL,"shampoo, beef, eggs, bread, butter, coffee",,Giza,Cash,1,,2
1216,130.0,17-12-2023,"bananas, tomatoes",49.66,Cairo,Debit Card,FALSE,Silver,9
1217,274.0,2023/01/04,detergent,19.84,Giza,Mobile Wallet,TRUE,Platinum,3
1070,1254.0,2023/04/09,detergent,14.05,Luxor,Mobile Wallet,Yes,,2
1218,972.0,2023/08/21,"yogurt, soda, bread, detergent",37.59,Cairo,Csh,0,Platinum,6
1219,486.0,2023/08/21,"bananas,chicken,apples,beef,eggs,coffee",59.12,Giza,Credit Card,yes,Gold,8
1220,1816.0,2023/04/28,"soap, yogurt, detergent",89.67,Luxor,Mobile Wallet,no,Silver,10
1221,1872.0,12/23/2023,milk | bananas | bread | coffee | cookies,94.81,Cairo,Mobile Wallet,Yes,,11
1222,1169.0,01 January 2023,"shampoo, milk, orange juice, soda, butter, apples",79.94,Cairo,Debit Card,yes,,6
1223,1382.0,10/14/2023,"bread, cheese, apples",25.38,Giza,Cash,yes,Gold,5
1224,,30 September 2023,"onions, orange juice, coffee",65.5,Cairo,Wallet,Yes,Bronze,5
1225,419.0,2023/11/27,"detergent, milk, pasta, bananas, soda",125.25,Luxor,Mobile Wallet,N,Platinum,10
1226,533.0,22 August 2023,"coffee, onions",36.77,Alexandria,Credit Card,True,Silver,6
1227,,27 July 2023,"onions, butter, orange juice",84.59,Alexandria City,Debit Card,,Silver,8
1228,83.0,10-04-2023,"SODA, Sugar",23.9,Cai,Cash,FALSE,Bronze,6
1229,791.0,08/16/2023,"milk, pasta, onions",27.28,Mansoura,App,TRUE,,8
1230,1912.0,2023/03/12,"apples, eggs, milk, bananas, detergent",86.32,Giza,Debit Card,FALSE,,1
1231,1304.0,03/03/2023,"cheese, detergent, soda, pasta",79.89,Giza,Mobile Wallet,no,Gold,11
1232,,2023/07/02,"orange juice , chips , butter",20.76,Alexandria,Credit Card,1,Gold,5
1233,1095.0,2023/02/22,"onions, butter, milk, tea, pasta",124.39,Luxor,Cash,True,Bronze,5
1234,1224.0,2023/12/19,"tomatoes, yogurt, chips, pasta, milk",34.83,Cai,Vodafone Cash,yes,Bronze,11
1235,1603.0,2023/02/16,soap,19.49,Giza,Credit Card,True,Bronze,4
1236,9.0,2023-07-14,"cheese, chicken, tea, coffee, onions, shampoo",144.21,giza,Credit Card,no,,1
1237,936.0,05 February 2023,"cookies, pasta, soda, orange juice, beef",70.93,Cairo,Mobile Wallet,N,Bronze,7
1238,1895.0,2023/03/04,"eggs, onions",48.24,Luxor,Mobile Wallet,N,Silver,2
1239,1931.0,NULL,"milk, cheese",17.64,Luxor,Cash,,Gold,8
1240,1108.0,NULL,"milk, bread, bananas, cheese, apples",62.88,Alexandria,Credit Card,N,Platinum,9
1241,1038.0,2023-05-26,apples,,Alexandria,Debit Card,yes,Bronze,6
1242,481.0,05-08-2023,"pasta , shampoo , eggs , soda , cookies , cheese",134.39,Luxor City,Mobile Wallet,0,,8
1243,1030.0,NULL,"tomatoes, yogurt, soap, pasta, onions, bananas",179.43,Mansoura,Cash,1,Bronze,9
1244,1335.0,2023-09-21,"tea, pasta, bananas",16.4,Luxor,Mobile Wallet,No,Platinum,1
1245,309.0,2023/03/24,"soda, pasta, bananas, cookies, tomatoes, eggs",47.03,Alexandria City,Mobile Wallet,N,Bronze,5
1246,1349.0,02 February 2023,yogurt;detergent;bread;cookies;coffee,107.18,Cairo,Credit Card,1,Gold,2
1247,675.0,2023/12/16,"COOKIES, Apples, BEEF, Bananas, CHICKEN",43.11,Mansoura,Debit Card,yes,Bronze,4
1248,1435.0,21 July 2023,"soda, cheese, sugar",85.22,Alexandria,Credit Card,,Platinum,5
1249,965.0,2023-06-17,"bananas, tomatoes, cookies, cheese, yogurt, rice",,Alexandria,Visa,No,Bronze,9
1250,267.0,06/17/2023,"soda, bananas, tomatoes, orange juice, coffee",47.74,Mansoura,CC,True,Silver,50
1251,183.0,2023/05/17,"yogurt, shampoo, CHEESE",79.23,Luxor,Debit Card,Y,,11
1252,509.0,23-07-2023,"shampoo, soda, detergent",70.21,giza,Cash,Y,bronze,9
1253,760.0,2023/08/28,"sugar, bread",17.09,Cairo,Credit Card,no,Platinum,5
1254,642.0,2023/08/14,"yogurt, tomatoes, cookies, coffee",23.59,Giza,Mobile Wallet,False,Platinum,2
1255,192.0,06-12-2023,"pasta, yogurt",36.3,Luxor,Cash,no,,-1
1256,1949.0,01-11-2023,tomatoes,20.56,Mansoura,Credit Card,yes,,1
1257,190.0,08 June 2023,"Rice, Yogurt, beef, APPLES",29.61,Giza,Mobile Wallet,N,,10
1258,1258.0,28-11-2023,"bananas , detergent",41.48,Lux,Wallet,FALSE,Gold,9
1259,1879.0,2023/10/27,TEA,21.54,Alexandria,Wallet,No,Platinum,8
1260,1785.0,2023-09-02,"Chicken,Yogurt",47.21,Mansoura,Debit Card,,Silver,4
